sector,horizon,task,r2,rmse,mae,directional_accuracy,n_oof,accuracy,f1,base_rate
Enrgy,6,reg,-0.20018313941878052,0.15143244541636516,0.1172551324252986,0.44266666666666665,375,,,
Enrgy,6,clf,,,,,375,0.456,0.4574468085106383,0.4693333333333333
Enrgy,12,reg,-0.23774058411469579,0.2417443129532384,0.19200046148184866,0.40540540540540543,370,,,
Enrgy,12,clf,,,,,370,0.4,0.3583815028901734,0.4540540540540541
Chems,1,reg,-0.03286301511458367,0.03043215640164284,0.02218447374498211,0.512,375,,,
Chems,1,clf,,,,,375,0.5066666666666667,0.4986449864498645,0.4746666666666667
Chems,3,reg,-0.24477180060956805,0.0588787695606014,0.04257437310796806,0.4613333333333333,375,,,
Chems,3,clf,,,,,375,0.45866666666666667,0.43137254901960786,0.44
Chems,6,reg,-0.4472135137107025,0.09115773391772485,0.06848699797109398,0.49866666666666665,375,,,
Chems,6,clf,,,,,375,0.49866666666666665,0.44047619047619047,0.42933333333333334
Chems,12,reg,-0.4768206402887345,0.1377391304537531,0.1086637152658542,0.43513513513513513,370,,,
Chems,12,clf,,,,,370,0.44054054054054054,0.3630769230769231,0.41081081081081083
BusEq,1,reg,-0.07688103143592451,0.038775874572793946,0.028493618839478534,0.49866666666666665,375,,,
BusEq,1,clf,,,,,375,0.4693333333333333,0.5110565110565111,0.5466666666666666
BusEq,3,reg,-0.4316247673555158,0.07557362610621213,0.055036788171595255,0.52,375,,,
BusEq,3,clf,,,,,375,0.4666666666666667,0.5633187772925764,0.6106666666666667
BusEq,6,reg,-1.186863113085721,0.13513447669529577,0.1014605457157536,0.5066666666666667,375,,,
BusEq,6,clf,,,,,375,0.5066666666666667,0.6121593291404612,0.648
BusEq,12,reg,-1.2990973300137085,0.21036271242148283,0.1538124328803875,0.5243243243243243,370,,,
BusEq,12,clf,,,,,370,0.5162162162162162,0.6469428007889546,0.7189189189189189
Telcm,1,reg,-0.05454665648750123,0.03414717476917793,0.025757255306896536,0.5066666666666667,375,,,
Telcm,1,clf,,,,,375,0.504,0.40764331210191085,0.44533333333333336
Telcm,3,reg,-0.20895612884713133,0.0635303209356542,0.04910246140858734,0.5253333333333333,375,,,
Telcm,3,clf,,,,,375,0.49866666666666665,0.34265734265734266,0.4026666666666667
Telcm,6,reg,-0.36824417936951126,0.09695226154744754,0.07697050037828305,0.4826666666666667,375,,,
Telcm,6,clf,,,,,375,0.4666666666666667,0.3630573248407643,0.4
Telcm,12,reg,-0.3700832478444813,0.14175798581956733,0.11736051930901086,0.5,370,,,
Telcm,12,clf,,,,,370,0.4972972972972973,0.34965034965034963,0.3891891891891892
Utils,1,reg,0.003946767704337217,0.04447808961654366,0.03408039064941801,0.536,375,,,
Utils,1,clf,,,,,375,0.504,0.45614035087719296,0.4746666666666667
Utils,3,reg,-0.07802883492288526,0.07559940232711905,0.058825780836238496,0.5226666666666666,375,,,
Utils,3,clf,,,,,375,0.5253333333333333,0.43670886075949367,0.4533333333333333
Utils,6,reg,-0.3070619268963046,0.11552247045595064,0.0881949949863493,0.49866666666666665,375,,,
Utils,6,clf,,,,,375,0.5146666666666667,0.4972375690607735,0.456
Utils,12,reg,-0.42319209705164673,0.17375205226077772,0.13725783140389597,0.4783783783783784,370,,,
Utils,12,clf,,,,,370,0.5,0.3642611683848797,0.4
Shops,1,reg,-0.028420917361392073,0.02518356739973747,0.019270129553571158,0.48,375,,,
Shops,1,clf,,,,,375,0.5253333333333333,0.5741626794258373,0.5146666666666667
Shops,3,reg,-0.11132045048267614,0.046642358471710485,0.03551316184576612,0.496,375,,,
Shops,3,clf,,,,,375,0.49333333333333335,0.45714285714285713,0.488
Shops,6,reg,-0.2730001305489267,0.06993030244251422,0.05369998165009205,0.49333333333333335,375,,,
Shops,6,clf,,,,,375,0.49333333333333335,0.4476744186046512,0.504
Shops,12,reg,-0.5106713514061343,0.10695495186464649,0.08345644371010359,0.4648648648648649,370,,,
Shops,12,clf,,,,,370,0.5243243243243243,0.5164835164835165,0.5324324324324324
Hlth,1,reg,0.0018222627064884422,0.03388956706903509,0.025632771984809826,0.5146666666666667,375,,,
Hlth,1,clf,,,,,375,0.512,0.48739495798319327,0.4666666666666667
Hlth,3,reg,-0.08350049236859425,0.05780691838102161,0.04612041215372392,0.4666666666666667,375,,,
Hlth,3,clf,,,,,375,0.45866666666666667,0.46437994722955145,0.496
Hlth,6,reg,-0.09130271789287003,0.07738243232301757,0.06263495348073672,0.5066666666666667,375,,,
Hlth,6,clf,,,,,375,0.5146666666666667,0.5404040404040404,0.5093333333333333
Hlth,12,reg,-0.22116192632690712,0.11307175701535878,0.09234189436002148,0.5594594594594594,370,,,
Hlth,12,clf,,,,,370,0.572972972972973,0.5182926829268293,0.46756756756756757
Money,1,reg,-0.04583817233713505,0.031801232965563954,0.02325251771745176,0.5173333333333333,375,,,
Money,1,clf,,,,,375,0.52,0.5609756097560976,0.5066666666666667
Money,3,reg,-0.21345088299260695,0.05911038966939803,0.043675737554822264,0.408,375,,,
Money,3,clf,,,,,375,0.456,0.5506607929515418,0.5413333333333333
Money,6,reg,-0.5552007918780899,0.09981538871916756,0.07716736264208333,0.4053333333333333,375,,,
Money,6,clf,,,,,375,0.4026666666666667,0.44,0.5306666666666666
Money,12,reg,-0.7071644286323897,0.15328866758547932,0.11924262444899711,0.4027027027027027,370,,,
Money,12,clf,,,,,370,0.4783783783783784,0.5902335456475584,0.5648648648648649
Other,1,reg,-0.015916225725716604,0.018565110174093263,0.014184688457719327,0.5466666666666666,375,,,
Other,1,clf,,,,,375,0.5733333333333334,0.4838709677419355,0.4533333333333333
Other,3,reg,-0.08691164503828941,0.03334742261691535,0.026307653890529973,0.5866666666666667,375,,,
Other,3,clf,,,,,375,0.5386666666666666,0.30522088353413657,0.4186666666666667
Other,6,reg,-0.2425557291316649,0.049020518004471395,0.038250656001184824,0.5626666666666666,375,,,
Other,6,clf,,,,,375,0.488,0.3191489361702128,0.4026666666666667
Other,12,reg,-0.6832033202857555,0.07874396402904495,0.06237054677371727,0.518918918918919,370,,,
Other,12,clf,,,,,370,0.5054054054054054,0.23430962343096234,0.3567567567567568
