date,spearman,top3_hit_rate,bot3_hit_rate,horizon
1994-09-30,0.29736795612662625,0.3333333333333333,0.3333333333333333,1
1994-10-31,0.0762804666496902,0.3333333333333333,0.0,1
1994-11-30,-0.32328388246773465,0.0,0.3333333333333333,1
1994-12-31,-0.5121688475050628,0.0,0.0,1
1995-01-31,-0.7678872830198498,0.0,0.0,1
1995-02-28,0.3215728391967999,0.3333333333333333,0.3333333333333333,1
1995-03-31,0.3566490698386032,0.6666666666666666,0.3333333333333333,1
1995-04-30,-0.6679361487794174,0.0,0.0,1
1995-05-31,0.7568549580887725,0.3333333333333333,0.6666666666666666,1
1995-06-30,0.7141232228971433,1.0,0.3333333333333333,1
1995-07-31,0.27149091068252545,0.3333333333333333,0.3333333333333333,1
1995-08-31,-0.5649034449783371,0.0,0.0,1
1995-09-30,0.06726179960007024,0.3333333333333333,0.3333333333333333,1
1995-10-31,-0.5771961488299246,0.0,0.0,1
1995-11-30,-0.22064748964199593,0.0,0.3333333333333333,1
1995-12-31,0.057471471989483526,0.3333333333333333,0.6666666666666666,1
1996-01-31,0.01087670675718056,0.6666666666666666,0.0,1
1996-02-29,0.21037912678459744,0.6666666666666666,0.3333333333333333,1
1996-03-31,0.09912265204220876,0.0,0.3333333333333333,1
1996-04-30,0.31338805276577947,0.3333333333333333,0.3333333333333333,1
1996-05-31,-0.04956132602110438,0.0,0.3333333333333333,1
1996-06-30,0.4822535913439597,0.6666666666666666,0.3333333333333333,1
1996-07-31,-0.06465540598816898,0.3333333333333333,0.0,1
1996-08-31,-0.4395207840291673,0.3333333333333333,0.0,1
1996-09-30,-0.06418346240886023,0.3333333333333333,0.3333333333333333,1
1996-10-31,-0.14514388334752,0.3333333333333333,0.3333333333333333,1
1996-11-30,0.1595250324386482,0.6666666666666666,0.0,1
1996-12-31,0.38434046892967116,0.3333333333333333,0.6666666666666666,1
1997-01-31,-0.2938278614108331,0.0,0.0,1
1997-02-28,-0.21355694169400766,0.0,0.0,1
1997-03-31,-0.18342864888903765,0.0,0.0,1
1997-04-30,-0.03533767463701098,0.0,0.3333333333333333,1
1997-05-31,-0.38941041873724874,0.0,0.0,1
1997-06-30,0.14160378863172682,0.3333333333333333,0.6666666666666666,1
1997-07-31,0.09187795405622853,0.0,0.6666666666666666,1
1997-08-31,-0.04965038507949393,0.3333333333333333,0.3333333333333333,1
1997-09-30,-0.8056989817238502,0.0,0.0,1
1997-10-31,0.7584069136758288,0.6666666666666666,0.3333333333333333,1
1997-11-30,0.06007404688291866,0.6666666666666666,0.0,1
1997-12-31,-0.2882289622262841,0.3333333333333333,0.3333333333333333,1
1998-01-31,-0.2222308630771033,0.0,0.3333333333333333,1
1998-02-28,0.0463547228508435,0.0,0.3333333333333333,1
1998-03-31,-0.37104558368861523,0.0,0.3333333333333333,1
1998-04-30,0.174721647668564,0.3333333333333333,0.3333333333333333,1
1998-05-31,0.22847417737449346,0.3333333333333333,0.6666666666666666,1
1998-06-30,-0.003552851855209667,0.0,0.3333333333333333,1
1998-07-31,-0.4401517595024992,0.0,0.0,1
1998-08-31,0.5845215366193189,0.6666666666666666,0.6666666666666666,1
1998-09-30,-0.7938247068547412,0.0,0.0,1
1998-10-31,-0.010735531320408118,0.3333333333333333,0.3333333333333333,1
1998-11-30,0.6072823002109122,0.3333333333333333,0.6666666666666666,1
1998-12-31,0.7264806347589543,0.6666666666666666,0.6666666666666666,1
1999-01-31,-0.036324031737947717,0.0,0.0,1
1999-02-28,-0.17000231384686126,0.3333333333333333,0.0,1
1999-03-31,0.2945412939461031,0.3333333333333333,0.0,1
1999-04-30,-0.6549175224217366,0.0,0.0,1
1999-05-31,-0.31690926684179943,0.0,0.3333333333333333,1
1999-06-30,0.1250287088669525,0.0,0.6666666666666666,1
1999-07-31,-0.5335988870188658,0.0,0.0,1
1999-08-31,0.6894440231806238,0.3333333333333333,1.0,1
1999-09-30,-0.21909358274946805,0.3333333333333333,0.3333333333333333,1
1999-10-31,0.3915210597723474,0.3333333333333333,0.3333333333333333,1
1999-11-30,0.566953917944932,0.3333333333333333,0.6666666666666666,1
1999-12-31,-0.29196049551960956,0.0,0.0,1
2000-01-31,0.44399169918683257,0.6666666666666666,0.6666666666666666,1
2000-02-29,-0.5127295388065239,0.0,0.0,1
2000-03-31,-0.09426479189556485,0.3333333333333333,0.0,1
2000-04-30,-0.06901566030210066,0.3333333333333333,0.6666666666666666,1
2000-05-31,0.07815004598985029,0.3333333333333333,0.3333333333333333,1
2000-06-30,0.07902327398553985,0.3333333333333333,0.0,1
2000-07-31,0.34546681367002435,0.3333333333333333,0.3333333333333333,1
2000-08-31,-0.11310210414849793,0.3333333333333333,0.0,1
2000-09-30,-0.24470565968293395,0.3333333333333333,0.0,1
2000-10-31,0.6809999525850604,0.3333333333333333,0.6666666666666666,1
2000-11-30,0.7642037012804738,0.6666666666666666,0.6666666666666666,1
2000-12-31,0.1753507287584581,0.0,0.6666666666666666,1
2001-01-31,-0.2945080142473218,0.3333333333333333,0.0,1
2001-02-28,-0.11809991901211361,0.0,0.0,1
2001-03-31,0.2282437110416744,0.3333333333333333,0.3333333333333333,1
2001-04-30,-0.13516618675131148,0.3333333333333333,0.0,1
2001-05-31,0.1913581133033518,0.6666666666666666,0.3333333333333333,1
2001-06-30,0.14673479641335554,0.0,0.3333333333333333,1
2001-07-31,-0.7269197537640097,0.0,0.0,1
2001-08-31,0.03646188434622346,0.3333333333333333,0.0,1
2001-09-30,0.28882558083987103,0.0,0.0,1
2001-10-31,-0.4580286124143445,0.3333333333333333,0.0,1
2001-11-30,-0.1542596577678866,0.3333333333333333,0.6666666666666666,1
2001-12-31,0.08653590557710712,0.3333333333333333,0.3333333333333333,1
2002-01-31,0.22088101068549135,0.3333333333333333,0.0,1
2002-02-28,-0.13252860641129482,0.3333333333333333,0.3333333333333333,1
2002-03-31,0.3221559418096683,0.3333333333333333,0.3333333333333333,1
2002-04-30,0.05913123959890826,0.0,0.6666666666666666,1
2002-05-31,-0.08767536437922906,0.3333333333333333,0.0,1
2002-06-30,-0.044435302318574926,0.3333333333333333,0.0,1
2002-07-31,-0.14976057446828844,0.0,0.3333333333333333,1
2002-08-31,0.5740743399100555,0.3333333333333333,0.6666666666666666,1
2002-09-30,-0.3667697171647577,0.0,0.3333333333333333,1
2002-10-31,0.17939823122189233,0.6666666666666666,0.0,1
2002-11-30,-0.19084525517264356,0.0,0.0,1
2002-12-31,-0.033930631244549384,0.3333333333333333,0.0,1
2003-01-31,0.2824509776555124,0.3333333333333333,0.6666666666666666,1
2003-02-28,0.2232511321872438,0.6666666666666666,0.3333333333333333,1
2003-03-31,-0.2511575237106493,0.0,0.3333333333333333,1
2003-04-30,-0.3536684836629595,0.0,0.3333333333333333,1
2003-05-31,-0.2272377595477303,0.3333333333333333,0.6666666666666666,1
2003-06-30,-0.13155870289605437,0.3333333333333333,0.3333333333333333,1
2003-07-31,-0.25604577824959457,0.0,0.0,1
2003-08-31,-0.6257862187747438,0.0,0.0,1
2003-09-30,0.20483662259967567,0.3333333333333333,0.6666666666666666,1
2003-10-31,0.40341832452743936,0.3333333333333333,0.3333333333333333,1
2003-11-30,-0.06378603776778394,0.3333333333333333,0.3333333333333333,1
2003-12-31,-0.26311740579210874,0.3333333333333333,0.3333333333333333,1
2004-01-31,-0.2391976416291898,0.3333333333333333,0.0,1
2004-02-29,-0.14750521233800037,0.0,0.3333333333333333,1
2004-03-31,-0.2272377595477303,0.3333333333333333,0.0,1
2004-04-30,-0.022217651159287463,0.3333333333333333,0.0,1
2004-05-31,0.3149435614784332,1.0,0.3333333333333333,1
2004-06-30,-0.039866273604864964,0.3333333333333333,0.3333333333333333,1
2004-07-31,-0.2750772878735682,0.3333333333333333,0.3333333333333333,1
2004-08-31,0.46244877381643357,0.3333333333333333,0.6666666666666666,1
2004-09-30,-0.2391976416291898,0.3333333333333333,0.3333333333333333,1
2004-10-31,0.6155870112510925,0.6666666666666666,0.3333333333333333,1
2004-11-30,-0.8172586088997317,0.0,0.0,1
2004-12-31,0.18093417126152453,0.3333333333333333,0.6666666666666666,1
2005-01-31,0.7694837640638655,1.0,0.3333333333333333,1
2005-02-28,0.47065471194867925,0.3333333333333333,0.6666666666666666,1
2005-03-31,0.23952963018816711,0.3333333333333333,0.6666666666666666,1
2005-04-30,-0.18093417126152453,0.0,0.3333333333333333,1
2005-05-31,-0.22813438985148743,0.3333333333333333,0.3333333333333333,1
2005-06-30,-0.20170916226371968,0.0,0.0,1
2005-07-31,-0.4484020766046477,0.3333333333333333,0.3333333333333333,1
2005-08-31,0.40967324519935133,0.3333333333333333,0.3333333333333333,1
2005-09-30,-0.20483662259967567,0.3333333333333333,0.3333333333333333,1
2005-10-31,-0.11800054647490729,0.3333333333333333,0.3333333333333333,1
2005-11-30,0.01260682264148248,0.3333333333333333,0.3333333333333333,1
2005-12-31,-0.18490006540840973,0.3333333333333333,0.0,1
2006-01-31,0.4622501635210243,0.3333333333333333,0.6666666666666666,1
2006-02-28,-0.016809096855309975,0.3333333333333333,0.3333333333333333,1
2006-03-31,0.315170566037062,0.6666666666666666,0.3333333333333333,1
2006-04-30,-0.4454410666657143,0.0,0.3333333333333333,1
2006-05-31,-0.655554777357089,0.0,0.3333333333333333,1
2006-06-30,-0.1799306321198044,0.3333333333333333,0.0,1
2006-07-31,-0.28933573971882176,0.3333333333333333,0.0,1
2006-08-31,-0.11108825579643733,0.0,0.3333333333333333,1
2006-09-30,-0.17954621161490197,0.0,0.0,1
2006-10-31,0.17939823122189233,0.6666666666666666,0.3333333333333333,1
2006-11-30,-0.05120915564991892,0.3333333333333333,0.6666666666666666,1
2006-12-31,0.5084751798731267,0.3333333333333333,0.3333333333333333,1
2007-01-31,0.20483662259967567,0.0,0.0,1
2007-02-28,0.25649458802128855,0.3333333333333333,0.0,1
2007-03-31,-0.42031588100300776,0.0,0.0,1
2007-04-30,-0.2504506552138783,0.0,0.3333333333333333,1
2007-05-31,0.13906416855253048,0.3333333333333333,0.3333333333333333,1
2007-06-30,0.15789570881006337,0.3333333333333333,0.3333333333333333,1
2007-07-31,-0.19753854495742512,0.3333333333333333,0.0,1
2007-08-31,0.5989501304292861,0.6666666666666666,0.3333333333333333,1
2007-09-30,0.10321918848543703,0.3333333333333333,0.0,1
2007-10-31,-0.11908949961751887,0.0,0.0,1
2007-11-30,0.5569185423289853,0.6666666666666666,0.3333333333333333,1
2007-12-31,-0.49737383641065974,0.0,0.3333333333333333,1
2008-01-31,0.8028368093325585,0.6666666666666666,0.3333333333333333,1
2008-02-29,0.03527474017096878,0.3333333333333333,0.3333333333333333,1
2008-03-31,-0.3087738305619017,0.3333333333333333,0.0,1
2008-04-30,0.5104895104895105,0.3333333333333333,0.3333333333333333,1
2008-05-31,0.5394053806205267,0.3333333333333333,0.6666666666666666,1
2008-06-30,0.3187395430939476,0.3333333333333333,0.3333333333333333,1
2008-07-31,-0.3327500724607145,0.0,0.3333333333333333,1
2008-08-31,-0.32867132867132864,0.0,0.0,1
2008-09-30,-0.003502632341691731,0.6666666666666666,0.0,1
2008-10-31,0.4128767539417481,0.0,0.6666666666666666,1
2008-11-30,-0.3028244105377194,0.3333333333333333,0.0,1
2008-12-31,0.29422111670210543,0.3333333333333333,0.3333333333333333,1
2009-01-31,0.41624193401743165,0.3333333333333333,0.6666666666666666,1
2009-02-28,-0.33863750564130024,0.3333333333333333,0.0,1
2009-03-31,0.014035174116450076,0.3333333333333333,0.3333333333333333,1
2009-04-30,0.14685314685314685,0.0,0.3333333333333333,1
2009-05-31,0.25874125874125875,0.0,0.3333333333333333,1
2009-06-30,-0.06993006993006995,0.0,0.3333333333333333,1
2009-07-31,-0.2377622377622378,0.0,0.3333333333333333,1
2009-08-31,-0.3327500724607145,0.0,0.0,1
2009-09-30,0.0736846641113629,0.0,0.3333333333333333,1
2009-10-31,0.23158037292142628,0.3333333333333333,0.6666666666666666,1
2009-11-30,0.2350891664505388,0.3333333333333333,0.3333333333333333,1
2009-12-31,-0.02112728445611996,0.0,0.6666666666666666,1
2010-01-31,0.3894760817314897,0.6666666666666666,0.3333333333333333,1
2010-02-28,0.6940600605055248,0.6666666666666666,0.6666666666666666,1
2010-03-31,0.021052761174675114,0.6666666666666666,0.0,1
2010-04-30,-0.31579141762012675,0.0,0.3333333333333333,1
2010-05-31,-0.5157926487795403,0.0,0.0,1
2010-06-30,-0.11579018646071314,0.0,0.3333333333333333,1
2010-07-31,-0.4956132155354397,0.0,0.0,1
2010-08-31,-0.15438691528095086,0.3333333333333333,0.0,1
2010-09-30,0.5008795081555452,0.0,0.6666666666666666,1
2010-10-31,-0.05623979750756762,0.0,0.3333333333333333,1
2010-11-30,0.10563642228059981,0.0,0.3333333333333333,1
2010-12-31,-0.03922322702763681,0.3333333333333333,0.3333333333333333,1
2011-01-31,0.08435865400514443,0.3333333333333333,0.0,1
2011-02-28,-0.30175624350367664,0.0,0.0,1
2011-03-31,-0.5887117087997138,0.0,0.0,1
