paradigm,baseline,baseline_mean_edge,v4_mean_edge,delta_edge,v4_mean_r2,baseline_mean_r2,baseline_mean_sharpe_ann,v4_mean_sharpe_ann,delta_sharpe,baseline_mean_top3_hit,v4_mean_top3_hit
per-cell,v1 clf,-0.06037387387387389,-0.0534084084084084,0.00696546546546549,-0.2461735112111294,,,,,,
pooled-reg,v2 xgb,-0.0898483483483483,-0.08364189189189188,0.006206456456456427,-0.037286855360729176,-0.03386448708239596,,,,,
ranker,v3 ranker,,,,,,-0.0760791069185556,0.16637132151344688,0.24245042843200248,0.26215015015015014,0.26797897897897893
