sector,horizon,task,r2,dir_acc,base_rate,naive_baseline,edge,n_oof
Shops,6,pooled_reg,-0.05590619888986992,0.512,0.504,0.504,0.008000000000000007,375
Hlth,6,pooled_reg,-0.018364151961060893,0.48533333333333334,0.5093333333333333,0.5093333333333333,-0.023999999999999966,375
Money,6,pooled_reg,-0.029366606113838012,0.5466666666666666,0.5306666666666666,0.5306666666666666,0.016000000000000014,375
Other,6,pooled_reg,-0.11566727172351077,0.448,0.4026666666666667,0.5973333333333333,-0.14933333333333326,375
NoDur,12,pooled_reg,-0.05804352859565687,0.4756756756756757,0.44324324324324327,0.5567567567567567,-0.08108108108108103,370
Durbl,12,pooled_reg,-0.005126313101209368,0.3783783783783784,0.45135135135135135,0.5486486486486486,-0.1702702702702702,370
Manuf,12,pooled_reg,-0.1166339123818021,0.4135135135135135,0.5594594594594594,0.5594594594594594,-0.1459459459459459,370
Enrgy,12,pooled_reg,-0.020057987714500847,0.3945945945945946,0.4540540540540541,0.5459459459459459,-0.1513513513513513,370
Chems,12,pooled_reg,-0.09788202606290586,0.3837837837837838,0.41081081081081083,0.5891891891891892,-0.20540540540540536,370
BusEq,12,pooled_reg,-0.08360261825490234,0.6567567567567567,0.7189189189189189,0.7189189189189189,-0.06216216216216219,370
Telcm,12,pooled_reg,-0.06646677448097704,0.4945945945945946,0.3891891891891892,0.6108108108108108,-0.1162162162162162,370
Utils,12,pooled_reg,-0.05942754285551288,0.4081081081081081,0.4,0.6,-0.19189189189189187,370
Shops,12,pooled_reg,-0.0803336499770706,0.5459459459459459,0.5324324324324324,0.5324324324324324,0.013513513513513487,370
Hlth,12,pooled_reg,-0.032161562671569,0.4540540540540541,0.46756756756756757,0.5324324324324324,-0.07837837837837835,370
Money,12,pooled_reg,0.018490420665639218,0.5567567567567567,0.5648648648648649,0.5648648648648649,-0.008108108108108136,370
Other,12,pooled_reg,-0.29290753849657336,0.32972972972972975,0.3567567567567568,0.6432432432432432,-0.3135135135135135,370
