horizon,label,n_months,mean_ls_ret,std_ls_ret,sharpe_ann,t_stat,hit_rate,mean_spearman,mean_top3_hit,mean_bot3_hit
1,v4c_ranker,375,0.002352977777777773,0.03730705931668143,0.21848288955700731,1.221356482425118,0.49333333333333335,0.023456194552662932,0.2666666666666666,0.2942222222222223
3,v4c_ranker,375,0.005755377777777776,0.054284475314935694,0.21204507345378196,2.0531175953295646,0.5413333333333333,0.039227423372409004,0.27288888888888885,0.28088888888888885
6,v4c_ranker,375,0.009716888888888872,0.08499713513981882,0.1616731673148057,2.21380101704065,0.528,0.05809251593581755,0.27199999999999996,0.2737777777777778
12,v4c_ranker,370,0.009966126126126094,0.13599291725608445,0.07328415572819254,1.4096488810671153,0.5297297297297298,0.05597537432787747,0.26036036036036037,0.2882882882882883
