variable,adf_stat,p_value,crit_1pct,crit_5pct,stationary_at_5pct,n_obs
dprod,-9.489605271027436,3.6829590554077814e-16,-3.444280551073031,-2.867682902679315,True,480
kilian_rea,-2.452899950173764,0.1273587468775939,-3.4448040131772584,-2.8679131843980197,False,480
real_oil_price (log level),-2.4339022867978213,0.1323954308412359,-3.4441920863262863,-2.8676439813617147,False,480
real_oil_price_diff (log 1st diff),-12.277237939931002,8.378630137147987e-23,-3.444162847239118,-2.8676311169658177,True,480
