sector,horizon,n_oof,r2,rmse,mae,dir_acc,base_rate,naive_baseline,edge,model
Money,12,370,0.030403347988558593,0.11552285845449231,0.08594934258818819,0.5675675675675675,0.5648648648648649,0.5648648648648649,0.002702702702702675,xgb_pooled_v2
Other,12,370,-0.2990085654810719,0.06917592761177051,0.053546617004212815,0.3567567567567568,0.3567567567567568,0.6432432432432432,-0.28648648648648645,xgb_pooled_v2
NoDur,12,370,,,,0.372972972972973,0.44324324324324327,0.5567567567567567,-0.18378378378378374,clf_pooled_v2
Durbl,12,370,,,,0.3891891891891892,0.45135135135135135,0.5486486486486486,-0.15945945945945939,clf_pooled_v2
Manuf,12,370,,,,0.37027027027027026,0.5594594594594594,0.5594594594594594,-0.18918918918918914,clf_pooled_v2
Enrgy,12,370,,,,0.34594594594594597,0.4540540540540541,0.5459459459459459,-0.19999999999999996,clf_pooled_v2
Chems,12,370,,,,0.3081081081081081,0.41081081081081083,0.5891891891891892,-0.28108108108108104,clf_pooled_v2
BusEq,12,370,,,,0.7027027027027027,0.7189189189189189,0.7189189189189189,-0.01621621621621616,clf_pooled_v2
Telcm,12,370,,,,0.42162162162162165,0.3891891891891892,0.6108108108108108,-0.18918918918918914,clf_pooled_v2
Utils,12,370,,,,0.372972972972973,0.4,0.6,-0.22702702702702698,clf_pooled_v2
Shops,12,370,,,,0.5054054054054054,0.5324324324324324,0.5324324324324324,-0.027027027027027084,clf_pooled_v2
Hlth,12,370,,,,0.5,0.46756756756756757,0.5324324324324324,-0.032432432432432434,clf_pooled_v2
Money,12,370,,,,0.6486486486486487,0.5648648648648649,0.5648648648648649,0.08378378378378382,clf_pooled_v2
Other,12,370,,,,0.44324324324324327,0.3567567567567568,0.6432432432432432,-0.19999999999999996,clf_pooled_v2
NoDur,12,370,-0.09594654743233999,0.1375758501286774,0.10378119128979685,0.5027027027027027,0.44324324324324327,0.5567567567567567,-0.05405405405405406,ridge_pooled_v2
Durbl,12,370,-0.0676580798167774,0.23525068863947005,0.1636744461162361,0.5351351351351351,0.45135135135135135,0.5486486486486486,-0.013513513513513487,ridge_pooled_v2
Manuf,12,370,-0.3154166673820711,0.09615394622596361,0.07768871055967332,0.44324324324324327,0.5594594594594594,0.5594594594594594,-0.11621621621621614,ridge_pooled_v2
Enrgy,12,370,-0.12178799253449601,0.23014250930453092,0.1763859019160332,0.4189189189189189,0.4540540540540541,0.5459459459459459,-0.127027027027027,ridge_pooled_v2
Chems,12,370,-0.12975616551665814,0.12047191677790858,0.09113981268250965,0.5027027027027027,0.41081081081081083,0.5891891891891892,-0.08648648648648649,ridge_pooled_v2
BusEq,12,370,-0.21852273419541945,0.15314643852601528,0.10653837928605306,0.5513513513513514,0.7189189189189189,0.7189189189189189,-0.16756756756756752,ridge_pooled_v2
Telcm,12,370,-0.10736526635836197,0.12744403242950472,0.09998811632369953,0.5567567567567567,0.3891891891891892,0.6108108108108108,-0.05405405405405406,ridge_pooled_v2
Utils,12,370,-0.17864978802504727,0.15812137142166544,0.12306436957398134,0.3567567567567568,0.4,0.6,-0.2432432432432432,ridge_pooled_v2
Shops,12,370,-0.04154521434649516,0.08880858774381027,0.06767685840212112,0.5675675675675675,0.5324324324324324,0.5324324324324324,0.03513513513513511,ridge_pooled_v2
Hlth,12,370,-0.10052785860370705,0.10734159232295104,0.08550905357759261,0.5081081081081081,0.46756756756756757,0.5324324324324324,-0.024324324324324298,ridge_pooled_v2
Money,12,370,-0.32844163864537745,0.1352208347461217,0.09812586543166076,0.4945945945945946,0.5648648648648649,0.5648648648648649,-0.07027027027027027,ridge_pooled_v2
Other,12,370,-0.7463057535584268,0.08020641897565789,0.06205914814033923,0.6081081081081081,0.3567567567567568,0.6432432432432432,-0.03513513513513511,ridge_pooled_v2
