horizon,label,n_months,mean_ls_ret,std_ls_ret,sharpe_ann,t_stat,hit_rate,mean_spearman,median_spearman,mean_top3_hit,mean_bot3_hit
1,v3_ranker,375,0.0013250666666666658,0.03156970726696974,0.14539778723155045,0.8127983400694943,0.5146666666666667,0.007121636297210255,0.006993006993006993,0.2631111111111111,0.26844444444444443
3,v3_ranker,375,-0.008909155555555551,0.06374273112729517,-0.27953479237542667,-2.706583988888939,0.4186666666666667,-0.05373765968665917,-0.05408597349824561,0.25333333333333335,0.24
6,v3_ranker,375,0.004339288888888893,0.07974161006777593,0.07695707664424777,1.0537781709427119,0.488,0.001148138065991331,0.027972027972027972,0.2871111111111111,0.2542222222222222
12,v3_ranker,370,-0.030051261261261248,0.1215978269564748,-0.24713649917459393,-4.753765477280237,0.4189189189189189,-0.043329482300866105,-0.06359485135878332,0.245045045045045,0.2423423423423423
