iter	PairLogit
0	0.6925324927
1	0.6925324927
2	0.6920508253
3	0.6920508253
4	0.6915325995
5	0.6906158828
6	0.6906158828
7	0.6906158828
8	0.6906158828
9	0.6906158828
10	0.6901328113
11	0.6899190631
12	0.6893546845
13	0.6893546845
14	0.6882543691
15	0.6882543691
16	0.6882543691
17	0.6882543691
18	0.6875242097
19	0.6875242097
20	0.6871890407
21	0.6871890407
22	0.686789271
23	0.686789271
24	0.686789271
25	0.686789271
26	0.6862358514
27	0.6858619501
28	0.685676084
29	0.6851188578
30	0.6851188578
31	0.684388014
32	0.684388014
33	0.6837992013
34	0.6828765277
35	0.6828765277
36	0.6823744183
37	0.6820509816
38	0.6820509816
39	0.6811265557
40	0.6808367862
41	0.6808367862
42	0.6808367862
43	0.6808367862
44	0.6808367862
45	0.6805493229
46	0.6805493229
47	0.6805493229
48	0.6805493229
49	0.6800726295
50	0.6800726295
51	0.6800726295
52	0.6800726295
53	0.6800726295
54	0.6800726295
55	0.6795468257
56	0.6795468257
57	0.6792959966
58	0.678577256
59	0.6775600047
60	0.6775600047
61	0.6775600047
62	0.6775600047
63	0.6772037711
64	0.6769136569
65	0.6769136569
66	0.6769136569
67	0.6764658308
68	0.6764658308
69	0.6759480148
70	0.6759480148
71	0.6757069672
72	0.6750600745
73	0.6750600745
74	0.6746996461
75	0.6746996461
76	0.6746996461
77	0.6744972612
78	0.6744972612
79	0.6744972612
80	0.6741518381
81	0.6741518381
82	0.6741518381
83	0.6741518381
84	0.6739585383
85	0.6737680985
86	0.6731897785
87	0.6731897785
88	0.6729571349
89	0.6729571349
90	0.6725907786
91	0.6723710588
92	0.6717800503
93	0.6711913502
94	0.6708876289
95	0.6707278684
96	0.6707278684
97	0.6700239682
98	0.6700239682
99	0.6697987089
100	0.6697987089
101	0.6694169617
102	0.6694169617
103	0.6686866622
104	0.6686866622
105	0.6676234913
106	0.6667745524
107	0.6666125136
108	0.6666125136
109	0.6666125136
110	0.6666125136
111	0.6663285998
112	0.6659791647
113	0.6652944178
114	0.6652944178
115	0.6650101537
116	0.6650101537
117	0.6643382829
118	0.6643382829
119	0.6643382829
120	0.664198706
121	0.6638299713
122	0.6635046849
123	0.6635046849
124	0.6635046849
125	0.6635046849
126	0.6635046849
127	0.6635046849
128	0.6622261779
129	0.6622261779
130	0.6622261779
131	0.6622261779
132	0.6622261779
133	0.6622261779
134	0.6622261779
135	0.6622261779
136	0.6617118077
137	0.6617118077
138	0.6615141896
139	0.6609288371
140	0.6609288371
141	0.6606458682
142	0.6606458682
143	0.6602263598
144	0.6599206866
145	0.6595093145
146	0.6595093145
147	0.6595093145
148	0.6592380274
149	0.658942187
