sector,horizon,config,fold,n_train,n_test,rows_per_feature,train_r2,test_r2,gap,train_dir_acc,test_dir_acc
Hlth,12,"current (d3, n300)",1,61,74,1.8,0.8058551360339848,-0.29561386938987777,1.1014690054238625,0.9508196721311475,0.7162162162162162
Hlth,12,"current (d3, n300)",2,135,74,4.1,0.8810386577176175,0.1400167285574051,0.7410219291602124,0.9259259259259259,0.7162162162162162
Hlth,12,"current (d3, n300)",3,209,74,6.3,0.8434313379095966,-0.3550773227729145,1.198508660682511,0.9330143540669856,0.44594594594594594
Hlth,12,"current (d3, n300)",4,283,74,8.6,0.8019551396235639,-0.3227717235377272,1.1247268631612912,0.911660777385159,0.5405405405405406
Hlth,12,"current (d3, n300)",5,357,74,10.8,0.7515333141874632,-0.4066086207325714,1.1581419349200346,0.8907563025210085,0.44594594594594594
Hlth,12,"shallow (d2, n100)",1,61,74,1.8,0.727146794240414,-0.3520595729278717,1.0792063671682857,0.9344262295081968,0.7027027027027027
Hlth,12,"shallow (d2, n100)",2,135,74,4.1,0.7201039061349588,0.1493055176580449,0.5707983884769139,0.8888888888888888,0.7027027027027027
Hlth,12,"shallow (d2, n100)",3,209,74,6.3,0.6014478535023107,-0.248025160393607,0.8494730138959177,0.861244019138756,0.40540540540540543
Hlth,12,"shallow (d2, n100)",4,283,74,8.6,0.5281322192385344,-0.18283070319241967,0.710962922430954,0.784452296819788,0.6351351351351351
Hlth,12,"shallow (d2, n100)",5,357,74,10.8,0.46870765642732726,-0.33791378270692785,0.8066214391342551,0.7619047619047619,0.3783783783783784
Hlth,12,"stumps (d1, n50)",1,61,74,1.8,0.5439101710296868,-0.4379368277102924,0.9818469987399792,0.8524590163934426,0.7027027027027027
Hlth,12,"stumps (d1, n50)",2,135,74,4.1,0.4487994127652659,0.1148503052323746,0.3339491075328913,0.8444444444444444,0.6216216216216216
Hlth,12,"stumps (d1, n50)",3,209,74,6.3,0.34451847868087515,-0.24845310622408423,0.5929715849049594,0.7703349282296651,0.40540540540540543
Hlth,12,"stumps (d1, n50)",4,283,74,8.6,0.3080223351181939,-0.06552789259973002,0.3735502277179239,0.7137809187279152,0.6081081081081081
Hlth,12,"stumps (d1, n50)",5,357,74,10.8,0.2588692561626159,-0.2623216682764955,0.5211909244391114,0.711484593837535,0.40540540540540543
Enrgy,6,"current (d3, n300)",1,68,75,2.1,0.7733443846272399,-0.5191243431058437,1.2924687277330835,0.9117647058823529,0.4266666666666667
Enrgy,6,"current (d3, n300)",2,143,75,4.3,0.7940832790722958,-0.41974479478339677,1.2138280738556926,0.9020979020979021,0.41333333333333333
Enrgy,6,"current (d3, n300)",3,218,75,6.6,0.7722441496991016,-0.18544933637039773,0.9576934860694993,0.926605504587156,0.6133333333333333
Enrgy,6,"current (d3, n300)",4,293,75,8.9,0.7440108472012135,-0.3479031968962134,1.0919140440974269,0.8907849829351536,0.52
Enrgy,6,"current (d3, n300)",5,368,75,11.2,0.712614728386854,-0.06235046477864481,0.7749651931654988,0.8342391304347826,0.4533333333333333
Enrgy,6,"shallow (d2, n100)",1,68,75,2.1,0.6657151653165732,-0.6285116692825425,1.2942268345991157,0.8823529411764706,0.44
Enrgy,6,"shallow (d2, n100)",2,143,75,4.3,0.5808640401651469,-0.3732962480196007,0.9541602881847476,0.8391608391608392,0.4
Enrgy,6,"shallow (d2, n100)",3,218,75,6.6,0.5262559676044696,-0.10959734853678671,0.6358533161412563,0.8440366972477065,0.6266666666666667
Enrgy,6,"shallow (d2, n100)",4,293,75,8.9,0.46803687121345183,-0.3087554484685726,0.7767923196820244,0.7815699658703071,0.52
Enrgy,6,"shallow (d2, n100)",5,368,75,11.2,0.4377559086427081,-0.06885625744710544,0.5066121660898135,0.7391304347826086,0.48
Enrgy,6,"stumps (d1, n50)",1,68,75,2.1,0.4234398129921896,-0.6568052773104183,1.0802450903026077,0.8235294117647058,0.49333333333333335
Enrgy,6,"stumps (d1, n50)",2,143,75,4.3,0.3160226435929534,-0.2923126078636462,0.6083352514565996,0.7692307692307693,0.38666666666666666
Enrgy,6,"stumps (d1, n50)",3,218,75,6.6,0.2739695190758782,-0.1034918385738044,0.3774613576496826,0.7568807339449541,0.6266666666666667
Enrgy,6,"stumps (d1, n50)",4,293,75,8.9,0.20926078486948463,-0.5370900443955091,0.7463508292649937,0.7030716723549488,0.41333333333333333
Enrgy,6,"stumps (d1, n50)",5,368,75,11.2,0.22328448881250018,-0.04318930450952552,0.2664737933220257,0.6902173913043478,0.41333333333333333
Manuf,6,"current (d3, n300)",1,68,75,2.1,0.2444967851612193,0.04606038404794366,0.19843640111327565,0.8823529411764706,0.6533333333333333
Manuf,6,"current (d3, n300)",2,143,75,4.3,0.478771886463911,-0.2623658639230888,0.7411377503869998,0.8321678321678322,0.44
Manuf,6,"current (d3, n300)",3,218,75,6.6,0.6428699057071177,-0.11059432902639355,0.7534642347335112,0.8486238532110092,0.6666666666666666
Manuf,6,"current (d3, n300)",4,293,75,8.9,0.6450289270620899,-0.5904000579010402,1.2354289849631301,0.8737201365187713,0.52
Manuf,6,"current (d3, n300)",5,368,75,11.2,0.5991722548997318,-0.03523218986202781,0.6344044447617596,0.8396739130434783,0.49333333333333335
Manuf,6,"shallow (d2, n100)",1,68,75,2.1,0.19649549829859947,0.040421489886704354,0.15607400841189512,0.8382352941176471,0.6133333333333333
Manuf,6,"shallow (d2, n100)",2,143,75,4.3,0.38940726608458454,-0.26106228919310404,0.6504695552776886,0.7972027972027972,0.4533333333333333
Manuf,6,"shallow (d2, n100)",3,218,75,6.6,0.4306382638500411,-0.047584801376588715,0.47822306522662983,0.7201834862385321,0.68
