horizon,n_months,mean_ret,vol,sharpe_ann_hadj,t_stat,win_rate,mean_spearman,mean_top3_hit,mean_bot3_hit
1,355,0.004082441314553985,0.03208949127665897,0.44070475999530906,2.397017997191088,0.5464788732394367,0.042987531870764296,0.2657276995305164,0.2582159624413145
3,355,0.003298403755868538,0.05887597421331206,0.11204583193538928,1.055552616074063,0.5154929577464789,0.030786571894419898,0.27793427230046946,0.2553990610328638
6,355,0.011565539906103291,0.07517127874063813,0.21758500939982386,2.898866062101707,0.532394366197183,0.05096278627206388,0.2704225352112676,0.27323943661971833
12,350,0.031435142857142835,0.11522293745898869,0.2728201827724757,5.103998260658254,0.6142857142857143,0.08033919800092251,0.2895238095238095,0.28095238095238095
